state_name,state_code,name,code
Abia,NG-AB,Aba North,NG-AB-ABN
Abia,NG-AB,Aba South,NG-AB-ABS
Abia,NG-AB,Arochukwu,NG-AB-ARO
Abia,NG-AB,Bende,NG-AB-BEN
Abia,NG-AB,Ikwuano,NG-AB-IKW
Abia,NG-AB,Isiala Ngwa North,NG-AB-ISN
Abia,NG-AB,Isiala Ngwa South,NG-AB-ISS
Abia,NG-AB,Isuikwuato,NG-AB-ISU
Abia,NG-AB,Obi Ngwa,NG-AB-OBN
Abia,NG-AB,Ohafia,NG-AB-OHA
Abia,NG-AB,Osisioma Ngwa,NG-AB-OSN
Abia,NG-AB,Ugwunagbo,NG-AB-UGW
Abia,NG-AB,Ukwa East,NG-AB-UKE
Abia,NG-AB,Ukwa West,NG-AB-UKW
Abia,NG-AB,Umuahia North,NG-AB-UMN
Abia,NG-AB,Umuahia South,NG-AB-UMS
Abia,NG-AB,Umu Nneochi,NG-AB-UNN
Adamawa,NG-AD,Demsa,NG-AD-DEM
Adamawa,NG-AD,Fufure,NG-AD-FUF
Adamawa,NG-AD,Ganye,NG-AD-GAN
Adamawa,NG-AD,Guyuk,NG-AD-GUY
Adamawa,NG-AD,Girei,NG-AD-GIR
Adamawa,NG-AD,Gombi,NG-AD-GOM
Adamawa,NG-AD,Hong,NG-AD-HON
Adamawa,NG-AD,Jada,NG-AD-JAD
Adamawa,NG-AD,Lamurde,NG-AD-LAM
Adamawa,NG-AD,Madagali,NG-AD-MAD
Adamawa,NG-AD,Maiha,NG-AD-MAI
Adamawa,NG-AD,Mayo Belwa,NG-AD-MAB
Adamawa,NG-AD,Michika,NG-AD-MIC
Adamawa,NG-AD,Mubi North,NG-AD-MUN
Adamawa,NG-AD,Mubi South,NG-AD-MUS
Adamawa,NG-AD,Numan,NG-AD-NUM
Adamawa,NG-AD,Shelleng,NG-AD-SHE
Adamawa,NG-AD,Song,NG-AD-SON
Adamawa,NG-AD,Toungo,NG-AD-TOU
Adamawa,NG-AD,Yola North,NG-AD-YON
Adamawa,NG-AD,Yola South,NG-AD-YOS
Akwa Ibom,NG-AK,Abak,NG-AK-ABA
Akwa Ibom,NG-AK,Eastern Obolo,NG-AK-EAO
Akwa Ibom,NG-AK,Eket,NG-AK-EKE
Akwa Ibom,NG-AK,Esit Eket,NG-AK-ESE
Akwa Ibom,NG-AK,Essien Udim,NG-AK-ESU
Akwa Ibom,NG-AK,Etim Ekpo,NG-AK-ETE
Akwa Ibom,NG-AK,Etinan Uyo,NG-AK-ETU
Akwa Ibom,NG-AK,Ibeno,NG-AK-IBE
Akwa Ibom,NG-AK,Ibesikpo Asutan,NG-AK-IBA
Akwa Ibom,NG-AK,Ibiono-Ibom,NG-AK-IBI
Akwa Ibom,NG-AK,Ika,NG-AK-IKA
Akwa Ibom,NG-AK,Ikono,NG-AK-IKO
Akwa Ibom,NG-AK,Ikot Abasi (village),NG-AK-IAB
Akwa Ibom,NG-AK,Ikot Ekpene,NG-AK-IKE
Akwa Ibom,NG-AK,Ini,NG-AK-INI
Akwa Ibom,NG-AK,Itu,NG-AK-ITU
Akwa Ibom,NG-AK,Mbo,NG-AK-MBO
Akwa Ibom,NG-AK,Mkpat-Eni,NG-AK-MKP
Akwa Ibom,NG-AK,Nsit-Atai,NG-AK-NSA
Akwa Ibom,NG-AK,Nsit-Ibom,NG-AK-NSI
Akwa Ibom,NG-AK,Nsit-Ubium,NG-AK-NSU
Akwa Ibom,NG-AK,Obot Akara,NG-AK-OBA
Akwa Ibom,NG-AK,Okobo,NG-AK-OKO
Akwa Ibom,NG-AK,Onna,NG-AK-ONN
Akwa Ibom,NG-AK,Oron,NG-AK-ORO
Akwa Ibom,NG-AK,Oruk Anam,NG-AK-ORA
Akwa Ibom,NG-AK,Udung-Uko,NG-AK-UDU
Akwa Ibom,NG-AK,Ukanafun,NG-AK-UKA
Akwa Ibom,NG-AK,Uruan,NG-AK-URU
Akwa Ibom,NG-AK,Urue-Offong/Oruko,NG-AK-URO
Akwa Ibom,NG-AK,Uyo,NG-AK-UYO
Anambra,NG-AN,Aguata,NG-AN-AGU
Anambra,NG-AN,Anambra East,NG-AN-ANE
Anambra,NG-AN,Anambra West,NG-AN-ANW
Anambra,NG-AN,Anaocha,NG-AN-ANA
Anambra,NG-AN,Awka North,NG-AN-AWN
Anambra,NG-AN,Awka South,NG-AN-AWS
Anambra,NG-AN,Ayamelum,NG-AN-AYA
Anambra,NG-AN,Dunukofia,NG-AN-DUN
Anambra,NG-AN,Ekwusigo,NG-AN-EKW
Anambra,NG-AN,Idemili North,NG-AN-IDN
Anambra,NG-AN,Idemili South,NG-AN-IDS
Anambra,NG-AN,Ihiala,NG-AN-IHI
Anambra,NG-AN,Njikoka,NG-AN-NJI
Anambra,NG-AN,Nnewi North,NG-AN-NNN
Anambra,NG-AN,Nnewi South,NG-AN-NNS
Anambra,NG-AN,Ogbaru,NG-AN-OGB
Anambra,NG-AN,Onitsha North,NG-AN-ONN
Anambra,NG-AN,Onitsha South,NG-AN-ONS
Anambra,NG-AN,Orumba North,NG-AN-ORN
Anambra,NG-AN,Orumba South,NG-AN-ORS
Anambra,NG-AN,Oyi,NG-AN-OYI
Bauchi,NG-BC,Alkaleri,NG-BA-ALK
Bauchi,NG-BC,Bauchi,NG-BA-BAU
Bauchi,NG-BC,Bogoro,NG-BA-BOG
Bauchi,NG-BC,Damban,NG-BA-DAM
Bauchi,NG-BC,Darazo,NG-BA-DAR
Bauchi,NG-BC,Dass,NG-BA-DAS
Bauchi,NG-BC,Gamawa,NG-BA-GAM
Bauchi,NG-BC,Ganjuwa,NG-BA-GAN
Bauchi,NG-BC,Giade,NG-BA-GIA
Bauchi,NG-BC,Itas/Gadau,NG-BA-ITA
Bauchi,NG-BC,Jama'are,NG-BA-JAM
Bauchi,NG-BC,Katagum,NG-BA-KAT
Bauchi,NG-BC,Kirfi,NG-BA-KIR
Bauchi,NG-BC,Misau,NG-BA-MIS
Bauchi,NG-BC,Ningi,NG-BA-NIN
Bauchi,NG-BC,Shira,NG-BA-SHI
Bauchi,NG-BC,Tafawa Balewa,NG-BA-TAB
Bauchi,NG-BC,Toro,NG-BA-TOR
Bauchi,NG-BC,Warji,NG-BA-WAR
Bauchi,NG-BC,Zaki,NG-BA-ZAK
Bayelsa,NG-BA,Brass,NG-BA-BRA
Bayelsa,NG-BA,Ekeremor,NG-BA-EKE
Bayelsa,NG-BA,Kolokuma/Opokuma,NG-BA-KOL
Bayelsa,NG-BA,Nembe,NG-BA-NEM
Bayelsa,NG-BA,Ogbia,NG-BA-OGB
Bayelsa,NG-BA,Sagbama,NG-BA-SAG
Bayelsa,NG-BA,Southern Ijaw,NG-BA-SOI
Bayelsa,NG-BA,Yenagoa,NG-BA-YEN
Benue,NG-BE,Ado,NG-BE-ADO
Benue,NG-BE,Agatu,NG-BE-AGA
Benue,NG-BE,Apa,NG-BE-APA
Benue,NG-BE,Buruku,NG-BE-BUR
Benue,NG-BE,Gboko,NG-BE-GBO
Benue,NG-BE,Guma,NG-BE-GUM
Benue,NG-BE,Gwer East,NG-BE-GWE
Benue,NG-BE,Gwer West,NG-BE-GWW
Benue,NG-BE,Katsina-Ala,NG-BE-KAT
Benue,NG-BE,Konshisha,NG-BE-KON
Benue,NG-BE,Kwande,NG-BE-KWA
Benue,NG-BE,Logo,NG-BE-LOG
Benue,NG-BE,Makurdi,NG-BE-MAK
Benue,NG-BE,Obi,NG-BE-OBI
Benue,NG-BE,Ogbadibo,NG-BE-OGB
Benue,NG-BE,Ohimini,NG-BE-OHI
Benue,NG-BE,Oju,NG-BE-OJU
Benue,NG-BE,Okpokwu,NG-BE-OKP
Benue,NG-BE,Oturkpo,NG-BE-OTU
Benue,NG-BE,Tarka,NG-BE-TAR
Benue,NG-BE,Ukum,NG-BE-UKU
Benue,NG-BE,Ushongo,NG-BE-USH
Benue,NG-BE,Vandeikya,NG-BE-VAN
Borno,NG-BO,Abadam,NG-BO-ABA
Borno,NG-BO,Askira/Uba,NG-BO-ASK
Borno,NG-BO,Bama,NG-BO-BAM
Borno,NG-BO,Bayo,NG-BO-BAY
Borno,NG-BO,Biu,NG-BO-BIU
Borno,NG-BO,Chibok,NG-BO-CHI
Borno,NG-BO,Damboa,NG-BO-DAM
Borno,NG-BO,Dikwa,NG-BO-DIK
Borno,NG-BO,Gubio,NG-BO-GUB
Borno,NG-BO,Guzamala,NG-BO-GUZ
Borno,NG-BO,Gwoza,NG-BO-GWO
Borno,NG-BO,Hawul,NG-BO-HAW
Borno,NG-BO,Jere,NG-BO-JER
Borno,NG-BO,Kaga,NG-BO-KAG
Borno,NG-BO,Kala/Balge,NG-BO-KAL
Borno,NG-BO,Konduga,NG-BO-KON
Borno,NG-BO,Kukawa,NG-BO-KUK
Borno,NG-BO,Kwaya Kusar,NG-BO-KWK
Borno,NG-BO,Mafa,NG-BO-MAF
Borno,NG-BO,Magumeri,NG-BO-MAG
Borno,NG-BO,Maiduguri,NG-BO-MAI
Borno,NG-BO,Marte,NG-BO-MAR
Borno,NG-BO,Mobbar,NG-BO-MOB
Borno,NG-BO,Monguno,NG-BO-MON
Borno,NG-BO,Ngala,NG-BO-NGA
Borno,NG-BO,Nganzai,NG-BO-NGZ
Borno,NG-BO,Shani,NG-BO-SHA
Cross River,NG-CR,Abi,NG-CR-ABI
Cross River,NG-CR,Akamkpa,NG-CR-AKA
Cross River,NG-CR,Akpabuyo,NG-CR-AKP
Cross River,NG-CR,Bakassi,NG-CR-BAK
Cross River,NG-CR,Bekwarra,NG-CR-BEK
Cross River,NG-CR,Biase,NG-CR-BIA
Cross River,NG-CR,Boki,NG-CR-BOK
Cross River,NG-CR,Calabar Municipal,NG-CR-CAM
Cross River,NG-CR,Calabar South,NG-CR-CAS
Cross River,NG-CR,Etung,NG-CR-ETU
Cross River,NG-CR,Ikom,NG-CR-IKO
Cross River,NG-CR,Obanliku,NG-CR-OBA
Cross River,NG-CR,Obubra,NG-CR-OBB
Cross River,NG-CR,Obudu,NG-CR-OBU
Cross River,NG-CR,Odukpani,NG-CR-ODU
Cross River,NG-CR,Ogoja,NG-CR-OGO
Cross River,NG-CR,Yakurr,NG-CR-YAK
Cross River,NG-CR,Yala,NG-CR-YAL
Delta,NG-DE,Aniocha North,NG-DE-ANN
Delta,NG-DE,Aniocha South,NG-DE-ANS
Delta,NG-DE,Bomadi,NG-DE-BOM
Delta,NG-DE,Burutu,NG-DE-BUR
Delta,NG-DE,Ethiope East,NG-DE-ETE
Delta,NG-DE,Ethiope West,NG-DE-ETW
Delta,NG-DE,Ika North East,NG-DE-IKN
Delta,NG-DE,Ika South,NG-DE-IKS
Delta,NG-DE,Isoko North,NG-DE-ISN
Delta,NG-DE,Isoko South,NG-DE-ISS
Delta,NG-DE,Ndokwa East,NG-DE-NDE
Delta,NG-DE,Ndokwa West,NG-DE-NDW
Delta,NG-DE,Okpe,NG-DE-OKP
Delta,NG-DE,Oshimili North,NG-DE-OSN
Delta,NG-DE,Oshimili South,NG-DE-OSS
Delta,NG-DE,Patani,NG-DE-PAT
Delta,NG-DE,Sapele,NG-DE-SAP
Delta,NG-DE,Udu,NG-DE-UDU
Delta,NG-DE,Ughelli North,NG-DE-UGN
Delta,NG-DE,Ughelli South,NG-DE-UGS
Delta,NG-DE,Ukwuani,NG-DE-UKW
Delta,NG-DE,Uvwie,NG-DE-UVW
Delta,NG-DE,Warri North,NG-DE-WAN
Delta,NG-DE,Warri South,NG-DE-WAS
Delta,NG-DE,Warri South West,NG-DE-WSW
Ebonyi,NG-EB,Abakaliki,NG-EB-ABA
Ebonyi,NG-EB,Afikpo,NG-EB-AFI
Ebonyi,NG-EB,Edda,NG-EB-EDD
Ebonyi,NG-EB,Ebonyi,NG-EB-EBO
Ebonyi,NG-EB,Ezza North,NG-EB-EZN
Ebonyi,NG-EB,Ezza South,NG-EB-EZS
Ebonyi,NG-EB,Ikwo,NG-EB-IKW
Ebonyi,NG-EB,Ishielu,NG-EB-ISH
Ebonyi,NG-EB,Ivo,NG-EB-IVO
Ebonyi,NG-EB,Izzi,NG-EB-IZZ
Ebonyi,NG-EB,Ohaozara,NG-EB-OHA
Ebonyi,NG-EB,Ohaukwu,NG-EB-OHK
Ebonyi,NG-EB,Onicha,NG-EB-ONI
Edo,NG-ED,Akoko-Edo,NG-ED-AKO
Edo,NG-ED,Egor,NG-ED-EGO
Edo,NG-ED,Esan Central,NG-ED-ESC
Edo,NG-ED,Esan North-East,NG-ED-ESN
Edo,NG-ED,Esan South-East,NG-ED-ESS
Edo,NG-ED,Esan West,NG-ED-ESW
Edo,NG-ED,Etsako Central,NG-ED-ETC
Edo,NG-ED,Etsako East,NG-ED-ETE
Edo,NG-ED,Etsako West,NG-ED-ETW
Edo,NG-ED,Igueben,NG-ED-IGU
Edo,NG-ED,Ikpoba Okha,NG-ED-IKO
Edo,NG-ED,Orhionmwon,NG-ED-ORH
Edo,NG-ED,Oredo,NG-ED-ORE
Edo,NG-ED,Ovia North-East,NG-ED-OVN
Edo,NG-ED,Ovia South-West,NG-ED-OVS
Edo,NG-ED,Owan East,NG-ED-OWE
Edo,NG-ED,Owan West,NG-ED-OWW
Edo,NG-ED,Uhunmwonde,NG-ED-UHU
Ekiti,NG-EK,Ado Ekiti,NG-ED-ADE
Ekiti,NG-EK,Efon,NG-ED-EFO
Ekiti,NG-EK,Ekiti East,NG-ED-EKE
Ekiti,NG-EK,Ekiti South-West,NG-ED-EKS
Ekiti,NG-EK,Ekiti West,NG-ED-EKW
